date,ch_area,disk_median
2011-01-01,0.04616,212.69
2011-01-02,0.02549,220.19
2011-01-03,0.0533,241.56
2011-01-04,0.12509,259.0
2011-01-05,0.0833,262.0
2011-01-06,0.1689,262.94
2011-01-07,0.00207,259.12
2011-01-08,0.01032,244.31
2011-01-09,0.0064,231.31
2011-01-10,0.04988,218.44
2011-01-11,0.15339,217.56
2011-01-12,0.06194,210.62
2011-01-13,0.01954,212.19
2011-01-14,0.09144,218.12
2011-01-15,0.10066,228.81
2011-01-16,0.08874,246.94
2011-01-17,0.01573,242.81
2011-01-18,0.0,240.81
2011-01-19,3e-05,243.19
2011-01-20,0.00052,234.25
2011-01-21,0.00022,241.94
2011-01-22,0.00016,235.25
2011-01-23,0.0,223.25
2011-01-24,0.00031,205.12
2011-01-25,0.0,198.56
2011-01-26,3e-05,197.31
2011-01-27,2e-05,188.75
2011-01-28,3e-05,195.88
2011-01-29,0.00697,201.0
2011-01-30,0.00934,208.62
2011-01-31,0.06858,220.62
2011-02-01,0.1799,232.75
2011-02-02,0.2645,245.56
2011-02-03,0.04598,254.94
2011-02-04,0.0,261.5
2011-02-05,0.00157,258.62
2011-02-06,0.01249,248.06
2011-02-07,0.02044,245.44
2011-02-08,9e-05,241.19
2011-02-09,0.00449,234.12
2011-02-10,0.05126,249.81
2011-02-11,0.13215,264.12
2011-02-12,0.10014,283.25
2011-02-13,0.07066,283.56
2011-02-14,0.02162,286.81
2011-02-15,0.02049,290.0
2011-02-16,0.02437,288.56
2011-02-17,0.01133,283.0
2011-02-18,0.01001,268.69
2011-02-19,0.00514,257.88
2011-02-20,0.017,254.06
2011-02-21,0.01082,239.0
2011-02-22,0.0033,219.44
2011-02-23,0.0,200.62
2011-02-24,0.0,194.81
2011-02-25,0.0,190.81
2011-02-26,0.00624,195.56
2011-02-27,0.01539,199.81
2011-02-28,0.1323,211.69
2011-03-01,0.18796,218.75
2011-03-02,0.13087,236.81
2011-03-03,0.00959,251.19
2011-03-04,0.0,160.81
2011-03-05,0.00686,277.19
2011-03-06,0.00635,269.12
2011-03-07,3e-05,281.12
2011-03-08,0.0001,264.81
2011-03-09,0.01615,280.38
2011-03-10,0.12366,85.5
2011-03-11,0.13868,135.88
2011-03-12,0.10927,331.0
2011-03-13,0.0324,313.5
2011-03-14,0.00038,311.75
2011-03-15,0.00173,282.44
2011-03-16,0.00122,262.69
2011-03-17,0.00181,248.19
2011-03-18,0.00212,238.38
2011-03-19,0.06036,237.56
2011-03-20,0.06665,226.31
2011-03-21,0.00548,210.09
2011-03-22,0.00043,202.31
2011-03-23,0.00016,193.12
2011-03-24,0.0,201.88
2011-03-25,0.0,216.31
2011-03-26,0.0,225.62
2011-03-27,0.04724,255.06
2011-03-28,0.00409,282.44
2011-03-29,5e-05,291.0
2011-03-30,0.00103,314.31
2011-03-31,0.0,331.88
2011-04-01,0.02387,334.5
2011-04-02,0.01163,330.94
2011-04-03,0.00074,331.25
2011-04-04,0.00034,330.75
2011-04-05,0.00201,334.06
2011-04-06,0.00363,344.12
2011-04-07,0.00773,351.25
2011-04-08,0.06814,345.88
2011-04-09,0.12389,340.44
2011-04-10,0.04093,337.0
2011-04-11,0.00532,325.19
2011-04-12,0.00331,315.88
2011-04-13,0.00013,300.62
2011-04-14,,
2011-04-15,0.00906,179.69
2011-04-16,0.10752,300.44
2011-04-17,0.15064,285.19
2011-04-18,0.0096,271.62
2011-04-19,0.0002,265.94
2011-04-20,0.00907,259.38
2011-04-21,0.00303,277.12
2011-04-22,0.00903,159.25
2011-04-23,0.01562,275.25
2011-04-24,0.00044,266.38
2011-04-25,0.01796,295.69
2011-04-26,0.02832,314.06
2011-04-27,0.07415,338.81
2011-04-28,0.10835,337.75
2011-04-29,0.04207,329.12
2011-04-30,0.00617,332.06
2011-05-01,0.0,319.19
2011-05-02,0.01212,305.81
2011-05-03,0.06418,319.38
2011-05-04,0.01105,306.56
2011-05-05,0.00277,310.56
2011-05-06,0.04157,315.78
2011-05-07,0.04222,321.5
2011-05-08,0.01906,324.5
2011-05-09,0.00057,325.94
2011-05-10,0.00281,323.12
2011-05-11,0.01175,306.44
2011-05-12,0.07115,299.81
2011-05-13,0.01855,303.81
2011-05-14,0.03759,305.56
2011-05-15,0.07122,288.25
2011-05-16,0.0051,279.19
2011-05-17,0.00227,281.62
2011-05-18,0.0,285.88
2011-05-19,0.01069,290.88
2011-05-20,0.00862,290.31
2011-05-21,0.01005,283.44
2011-05-22,0.00505,292.56
2011-05-23,0.00142,289.75
2011-05-24,0.0,294.19
2011-05-25,0.1768,307.38
2011-05-26,0.01309,306.44
2011-05-27,0.00593,298.88
2011-05-28,0.0162,282.31
2011-05-29,0.00119,283.0
2011-05-30,0.00596,275.25
2011-05-31,0.07985,273.69
2011-06-01,0.17068,278.38
2011-06-02,0.04393,285.19
2011-06-03,0.00063,309.19
2011-06-04,0.01817,314.25
2011-06-05,0.00392,344.56
2011-06-06,0.0,342.81
2011-06-07,0.0,329.62
2011-06-08,0.00066,312.19
2011-06-09,0.00512,290.56
2011-06-10,0.00572,284.94
2011-06-11,0.04808,276.25
2011-06-12,0.01011,269.38
2011-06-13,0.00211,274.06
2011-06-14,7e-05,269.19
2011-06-15,5e-05,273.56
2011-06-16,0.0,279.5
2011-06-17,0.03356,292.62
2011-06-18,0.00931,149.81
2011-06-19,0.00071,303.25
2011-06-20,0.14699,315.75
2011-06-21,0.09408,338.25
2011-06-22,0.00057,336.56
2011-06-23,0.02091,317.5
2011-06-24,0.00071,297.31
2011-06-25,0.0,300.38
2011-06-26,0.00095,293.19
2011-06-27,0.00931,270.44
2011-06-28,0.04446,251.06
2011-06-29,0.129,249.56
2011-06-30,,
2011-07-01,0.00625,284.0
2011-07-02,0.06241,297.5
2011-07-03,0.0001,303.06
2011-07-04,0.0,286.12
2011-07-05,0.0,275.88
2011-07-06,0.05176,268.12
2011-07-07,0.02909,264.19
2011-07-08,0.04029,269.88
2011-07-09,0.06227,266.75
2011-07-10,0.00025,255.69
2011-07-11,0.01549,261.44
2011-07-12,0.0,260.56
2011-07-13,0.00173,267.5
2011-07-14,0.00623,275.25
2011-07-15,0.06451,287.25
2011-07-16,0.06452,293.19
2011-07-17,0.22345,308.69
